406995.03125000,4566985.50000000,173.55607605,173.556076
406995.12500000,4566985.50000000,173.55754089,173.557541
406995.06250000,4566985.50000000,173.54582214,173.545822
406995.06250000,4566985.50000000,173.49845886,173.498459
406995.12500000,4566985.50000000,173.52189636,173.521896
406995.09375000,4566985.50000000,173.53019714,173.530197
406995.12500000,4566985.50000000,173.55119324,173.551193
406995.06250000,4566985.50000000,173.49699402,173.496994
406995.00000000,4566985.50000000,173.53556824,173.535568
406994.93750000,4566985.50000000,173.59318542,173.593185
406995.09375000,4566985.50000000,173.58000183,173.580002
406995.12500000,4566985.50000000,173.60050964,173.600510
406995.09375000,4566985.50000000,173.61515808,173.615158
406994.96875000,4566985.50000000,173.59025574,173.590256
406995.03125000,4566985.50000000,173.56828308,173.568283
406995.03125000,4566985.50000000,173.59855652,173.598557
406995.00000000,4566985.50000000,173.61759949,173.617599
406994.96875000,4566985.50000000,173.59757996,173.597580
406995.09375000,4566985.50000000,173.59318542,173.593185
406995.12500000,4566985.50000000,173.59660339,173.596603
406995.09375000,4566985.50000000,173.60685730,173.606857
406995.00000000,4566985.50000000,173.61808777,173.618088
406995.12500000,4566985.50000000,173.48674011,173.486740
406995.12500000,4566985.50000000,173.52140808,173.521408
406995.00000000,4566985.50000000,173.55119324,173.551193
406995.00000000,4566986.00000000,173.61271667,173.612717
406994.81250000,4566985.50000000,173.51115417,173.511154
406994.84375000,4566985.50000000,173.55168152,173.551682
406994.84375000,4566985.50000000,173.50578308,173.505783
406994.93750000,4566985.50000000,173.62052917,173.620529
406994.87500000,4566985.50000000,173.58732605,173.587326
406994.87500000,4566986.00000000,173.61076355,173.610764
406994.65625000,4566986.00000000,173.62541199,173.625412
406995.09375000,4566986.50000000,173.53654480,173.536545
406994.90625000,4566986.50000000,173.50334167,173.503342
406995.03125000,4566986.50000000,173.61808777,173.618088
406994.93750000,4566985.50000000,173.54635620,173.546356
406995.06250000,4566986.50000000,173.49703979,173.497040
406995.00000000,4566986.50000000,173.54537964,173.545380
406995.03125000,4566986.50000000,173.57321167,173.573212
406995.03125000,4566986.50000000,173.51412964,173.514130
406995.03125000,4566986.50000000,173.53121948,173.531219
406994.93750000,4566986.50000000,173.54489136,173.544891
406994.96875000,4566986.50000000,173.52438354,173.524384
406994.93750000,4566986.50000000,173.58639526,173.586395
406995.03125000,4566986.50000000,173.59762573,173.597626
406994.90625000,4566986.50000000,173.60739136,173.607391
406994.96875000,4566986.50000000,173.60690308,173.606903
406994.93750000,4566985.50000000,173.57090759,173.570908
406994.93750000,4566985.50000000,173.61778259,173.617783
406995.03125000,4566985.50000000,173.48692322,173.486923
406994.87500000,4566985.50000000,173.60997009,173.609970
406994.96875000,4566985.50000000,173.59580994,173.595810
406995.00000000,4566985.50000000,173.51377869,173.513779
406994.96875000,4566985.50000000,173.58799744,173.587997
406994.62500000,4566986.50000000,173.50059509,173.500595
406994.87500000,4566985.50000000,173.60020447,173.600204
406994.78125000,4566985.50000000,173.55967712,173.559677
406994.87500000,4566985.50000000,173.56163025,173.561630
406994.62500000,4566986.50000000,173.54844666,173.548447
406994.68750000,4566986.50000000,173.51182556,173.511826
406994.65625000,4566986.50000000,173.59532166,173.595322
406994.78125000,4566986.50000000,173.52061462,173.520615
406994.78125000,4566986.50000000,173.56797791,173.567978
406994.68750000,4566986.50000000,173.55967712,173.559677
406994.71875000,4566986.50000000,173.60801697,173.608017
406994.78125000,4566986.50000000,173.61485291,173.614853
406994.40625000,4566986.50000000,173.50596619,173.505966
406994.37500000,4566986.00000000,173.49278259,173.492783
406994.40625000,4566986.00000000,173.52305603,173.523056
406994.43750000,4566986.00000000,173.56797791,173.567978
406994.40625000,4566986.00000000,173.49424744,173.494247
406994.37500000,4566986.00000000,173.59239197,173.592392
406994.37500000,4566986.00000000,173.54161072,173.541611
406994.34375000,4566986.00000000,173.54747009,173.547470
406994.37500000,4566986.00000000,173.55918884,173.559189
406994.37500000,4566986.00000000,173.59092712,173.590927
406994.40625000,4566986.00000000,173.60606384,173.606064
406994.43750000,4566986.00000000,173.61631775,173.616318
406994.37500000,4566986.00000000,173.51084900,173.510849
406994.46875000,4566986.50000000,173.49864197,173.498642
406994.46875000,4566986.50000000,173.54649353,173.546494
406994.46875000,4566986.50000000,173.59385681,173.593857
406994.37500000,4566986.50000000,173.52842712,173.528427
406994.40625000,4566986.50000000,173.57530212,173.575302
406994.40625000,4566986.50000000,173.55479431,173.554794
406994.40625000,4566986.50000000,173.60362244,173.603622
406994.43750000,4566986.50000000,173.48887634,173.488876
406994.43750000,4566986.50000000,173.52500916,173.525009
406994.43750000,4566986.50000000,173.53623962,173.536240
406994.43750000,4566986.50000000,173.57334900,173.573349
406994.43750000,4566986.50000000,173.58506775,173.585068
406994.40625000,4566986.50000000,173.62315369,173.623154
406994.40625000,4566986.50000000,173.62266541,173.622665
406994.53125000,4566986.50000000,173.51036072,173.510361
406994.50000000,4566986.50000000,173.49913025,173.499130
406994.50000000,4566986.50000000,173.54844666,173.548447
406994.59375000,4566986.50000000,173.52696228,173.526962
406994.59375000,4566986.50000000,173.57481384,173.574814
406994.50000000,4566986.50000000,173.59580994,173.595810
406994.53125000,4566986.50000000,173.55723572,173.557236
406994.53125000,4566986.50000000,173.60508728,173.605087
406994.59375000,4566986.50000000,173.62315369,173.623154
406994.87500000,4566986.50000000,173.54718018,173.547180
406994.78125000,4566986.50000000,173.58477783,173.584778
406995.09375000,4566986.50000000,173.58575439,173.585754
406994.62500000,4566986.50000000,173.58721924,173.587219
